district,district_en,community,title,layout,bedrooms,area_sqm,orientation,decoration,decoration_en,floor_level,floor_level_en,total_floors,build_year,property_age,building_type,building_type_en,total_price_wan,total_price_yuan,unit_price_yuan_sqm,tags,listing_url
fengxian,Fengxian,华润置地幸福里,华润品质洋房4房+好楼层前排无遮挡+全屋定制精装修,4室2厅,4.0,155.34,南,精装,Fully Furnished,,Unknown,9.0,2020.0,5.0,板楼,Slab,378.0,3780000.0,24334.0,VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114773986.html
fengxian,Fengxian,贤德苑,青溪，明德，南北通风，高区，视野开阔，精装修,2室1厅,2.0,77.74,南 北,精装,Fully Furnished,高,High,18.0,2019.0,6.0,板楼,Slab,169.0,1690000.0,21740.0,VR房源|房本满两年,https://sh.lianjia.com/ershoufang/107115240220.html
fengxian,Fengxian,阳光四季园,阳光板块中间楼层诚意出售的房子，中间位置不靠路,2室2厅,2.0,106.73,南 北,简装,Basic Furnished,低,Low,6.0,2005.0,20.0,板楼,Slab,215.0,2150000.0,20145.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115388863.html
fengxian,Fengxian,解放新村,此房格局好一楼大院子视野好采光好独门独户,2室1厅,2.0,56.84,南,精装,Fully Furnished,低,Low,6.0,,,板楼,Slab,95.0,950000.0,16714.0,VR房源|房本满两年,https://sh.lianjia.com/ershoufang/107115761078.html
fengxian,Fengxian,江海新村,清爽装修中间楼层，采光通风好，靠桥靠路视野景观好,2室2厅,2.0,80.95,南,精装,Fully Furnished,中,Mid,6.0,1993.0,32.0,板楼,Slab,118.0,1180000.0,14577.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115768680.html
fengxian,Fengxian,文怡花园,近地铁+满五0个税+低楼层+看房方便+采光好,2室2厅,2.0,93.65,南,简装,Basic Furnished,中,Mid,6.0,2004.0,21.0,板楼,Slab,175.0,1750000.0,18687.0,近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115143342.html
fengxian,Fengxian,贤德苑,读青溪明德楼层好采光好业主诚心出售精装修随时可看,1室1厅,1.0,58.7,南 北,精装,Fully Furnished,中,Mid,18.0,2019.0,6.0,板楼,Slab,118.0,1180000.0,20103.0,VR看装修|房本满两年,https://sh.lianjia.com/ershoufang/107113843885.html
fengxian,Fengxian,中南锦庭,小户型 2018年次新房 清溪明德 BRT快线 带车位,2室2厅,2.0,66.03,南 北,简装,Basic Furnished,低,Low,25.0,2018.0,7.0,板楼,Slab,205.0,2050000.0,31047.0,VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107109172767.html
fengxian,Fengxian,华盛新苑,此房户型手续齐全，格局好，采光好，无遮挡，出行方便,4室2厅,4.0,141.67,南 北,其他,Other,低,Low,6.0,2007.0,18.0,板楼,Slab,150.0,1500000.0,10588.0,VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107113288693.html
fengxian,Fengxian,瑞和上海印象,楼层好，视野宽阔，采光充足，配套设施齐全，交通便利,2室2厅,2.0,87.05,南 北,其他,Other,中,Mid,11.0,,,,Unknown,120.0,1200000.0,13786.0,VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114537497.html
fengxian,Fengxian,目华新村,此房户型手续齐全，格局好，采光好，无遮挡，出行方便,3室2厅,3.0,122.92,南 北,其他,Other,高,High,5.0,2006.0,19.0,板楼,Slab,95.0,950000.0,7729.0,VR房源|房本满两年,https://sh.lianjia.com/ershoufang/107114692846.html
fengxian,Fengxian,大名城·映雨江南,此房户型手续齐全，格局好，采光好，无遮挡，出行方便,2室2厅,2.0,83.63,南,其他,Other,高,High,16.0,2024.0,1.0,,Unknown,196.0,1960000.0,23437.0,VR看装修,https://sh.lianjia.com/ershoufang/107113455927.html
fengxian,Fengxian,绿城上海诚园,业主诚心卖  手续齐全，格局好，采光好，价格可谈,3室2厅,3.0,86.17,南 北,其他,Other,低,Low,18.0,2018.0,7.0,板楼,Slab,135.0,1350000.0,15667.0,VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107111938378.html
fengxian,Fengxian,优化路172号,此房手续齐全，格局好，采光好，无遮挡，出行方便,2室2厅,2.0,85.13,南,简装,Basic Furnished,中,Mid,6.0,2007.0,18.0,板楼,Slab,205.0,2050000.0,24081.0,VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107110523272.html
fengxian,Fengxian,阳光海岸(别墅),精装修别墅，业主自住，满五年，静谧舒适,4室2厅,4.0,180.25,南,精装,Fully Furnished,低,Low,2.0,2005.0,20.0,板楼,Slab,535.0,5350000.0,29681.0,VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107111480011.html
fengxian,Fengxian,海湾新家园,低总价原始两房，产权清晰，车位充足,2室1厅,2.0,84.12,南,毛坯,Bare Shell,高,High,6.0,2017.0,8.0,,Unknown,79.0,790000.0,9392.0,VR看装修|房本满两年,https://sh.lianjia.com/ershoufang/107111736519.html
fengxian,Fengxian,棕榈滩高尔夫别墅,高尔夫独栋庄园主+花园1800平+毛坯临河+看球场+有阁楼,6室2厅,6.0,655.89,南,毛坯,Bare Shell,低,Low,2.0,2010.0,15.0,板楼,Slab,2000.0,20000000.0,30493.0,VR房源|房本满两年,https://sh.lianjia.com/ershoufang/107112215427.html
