district,community,title,area_sqm,layout,orientation,monthly_rent_yuan,rent_per_sqm,tags,listing_url
hongkou,东海小区,整租·东海小区 2室1厅 南,56.0,2室1厅1卫,南,5250.0,93.8,自营|新上|近地铁|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1976212972900450304.html
hongkou,沪办大厦,整租·沪办大厦 2室1厅 南,98.97,2室1厅1卫,南,6000.0,60.6,精装,https://sh.lianjia.com/zufang/SH2165052491434033152.html
hongkou,仅剩1间,独栋·友间公寓 广粤路76弄宝地虹乐苑店 免费班车/四川北路/虹口龙之梦/虹口陪读/上外附中/民水电/带阳台/燃气两室一厅B 2室1厅,65.0,2室1厅1卫,,8500.0,130.8,独栋公寓|精装|有阳台|开放厨房|押一付一,https://sh.lianjia.com/apartment/52374.html
hongkou,大连西路29号,整租·大连西路29号 1室0厅 北,20.0,1室0厅1卫,北,3150.0,157.5,自营|新上|近地铁|押一付一|随时看房,https://sh.lianjia.com/zufang/SH2027033019226783744.html
hongkou,河滨大楼,整租·河滨大楼 1室1厅 南,24.4,1室1厅1卫,南,7500.0,307.4,官方核验|业主自荐|新上|近地铁|精装,https://sh.lianjia.com/zufang/SH2173966972792864768.html
hongkou,仅剩1间,独栋·青云路城建大厦 青云路城建大厦人才公寓店 近西藏北路地铁 可办居住证 可养宠物 民水民电 押一付一 1室1厅,39.43,1室1厅1卫,,6430.0,163.1,独栋公寓|近地铁|精装|开放厨房|押一付一,https://sh.lianjia.com/apartment/86387.html
hongkou,何家宅小区,整租·何家宅小区 2室0厅 南,55.98,2室0厅1卫,南,4883.0,87.2,自营|新上|近地铁|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH2039309854656430080.html
hongkou,仅剩1间,独栋·露美家花园精品公寓 虹口店 所见即所得，拒绝落差感！免费健身房/实心墙/毕业季专属 开间,28.0,1室0厅1卫,,4080.0,145.7,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,https://sh.lianjia.com/apartment/63701.html
hongkou,前进小区,整租·前进小区 2室1厅 南/北,52.0,2室1厅1卫,南,4500.0,86.5,自营|新上|近地铁|押一付一|随时看房|首次出租,https://sh.lianjia.com/zufang/SH2163931650730229760.html
hongkou,仅剩1间,独栋·桂客公寓 大柏树店 （可短租）大阳台大窗阳光一居室 1室1厅,40.0,1室1厅1卫,,4880.0,122.0,独栋公寓|近地铁|精装|有阳台|开放厨房|押一付一,https://sh.lianjia.com/apartment/58862.html
hongkou,金枫里,整租·金枫里 2室1厅 南,73.57,2室1厅1卫,南,5600.0,76.1,官方核验|新上,https://sh.lianjia.com/zufang/SH2173658924777996288.html
hongkou,新市南路1148弄,整租·新市南路1148弄 2室1厅 南,51.9,2室1厅1卫,南,5000.0,96.3,官方核验|新上|精装,https://sh.lianjia.com/zufang/SH2171869093601214464.html
hongkou,欣逸家园,整租·欣逸家园 2室1厅 南,99.0,2室1厅1卫,南,8300.0,83.8,官方核验|新上|精装,https://sh.lianjia.com/zufang/SH2171941151077040128.html
hongkou,西南小区,整租·西南小区 2室1厅 南,50.07,2室1厅1卫,南,5100.0,101.9,官方核验|新上,https://sh.lianjia.com/zufang/SH2174077500005548032.html
hongkou,玉田新村,整租·玉田新村 2室1厅 南/北,67.8,2室1厅1卫,南,4725.0,69.7,自营|新上|近地铁|押一付一|随时看房,https://sh.lianjia.com/zufang/SH2162818458423656448.html
hongkou,海怡花园(虹口),整租·海怡花园(虹口) 7室2厅 南/北,288.48,7室2厅3卫,南,18000.0,62.4,官方核验|新上|精装,https://sh.lianjia.com/zufang/SH2173985415617314816.html
hongkou,天星公寓(虹口),整租·天星公寓(虹口) 2室2厅 南,104.21,2室2厅1卫,南,12600.0,120.9,自营|新上|近地铁|押一付一|随时看房|首次出租,https://sh.lianjia.com/zufang/SH2146155485424779264.html
hongkou,仅剩1间,独栋·友间公寓 广粤路76弄宝地虹乐苑店 央企直营/维修快/免费班车/绿化率高/大宁国际/虹口龙之梦/两室两厅/双卫双阳台A 2室2厅,90.0,2室2厅2卫,,10500.0,116.7,独栋公寓|精装|有阳台|开放厨房|押一付一,https://sh.lianjia.com/apartment/52374.html
hongkou,复旦小区,整租·复旦小区 2室2厅 南,76.5,2室2厅1卫,南,5990.0,78.3,自营|新上|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH2143981210047610880.html
