district,community,title,house_info,total_price_wan,unit_price_raw,tags,listing_url
huangpu,威海苑,稀有房源 高区3/1/1 全明 南 南京西路美景尽收,3室2厅 | 104.64平米 | 南 西南 北 | 简装 | 高楼层(共18层) | 1999年 | 塔楼,778万,"74,351元/平",近地铁|甄选房|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115580228.html
huangpu,明德坊,精装修38W，海华＋卢湾，绿化高,2室1厅 | 92.93平米 | 南 | 精装 | 低楼层(共20层) | 1999年 | 塔楼,788万,"84,796元/平",近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115544985.html
huangpu,惠达大厦,老西门地铁口 阔绰大两房 闹中取静 采光视野开阔,2室2厅 | 117.87平米 | 南 | 精装 | 中楼层(共15层) | 2003年 | 塔楼,828万,"70,247元/平",近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115199579.html
huangpu,蒙西小区,电梯平层，双南两房，全明户型，满五唯.一，房东诚售,2室1厅 | 57.43平米 | 南 | 精装 | 中楼层(共5层) | 1980年 | 板楼,520万,"90,546元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115730198.html
huangpu,香港广场,新天地、淮海中路600多万入住高品质两房，物业好,1室2厅 | 98.39平米 | 东 | 精装 | 中楼层(共38层) | 1997年 | 塔楼,668万,"67,894元/平",近地铁|VR看装修|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107112565752.html
huangpu,金鹿大楼,金鹿大楼 1室1厅 东,1室1厅 | 45.05平米 | 东 | 精装 | 中楼层(共20层) | 1992年 | 塔楼,315万,"69,923元/平",近地铁|VR房源,https://sh.lianjia.com/ershoufang/107115796105.html
huangpu,中山南路1768弄,1990年小区，近4/8号地铁，上外+大同，得房率80.35%,2室1厅 | 57.87平米 | 南 | 精装 | 中楼层(共6层) | 1990年 | 板楼,558万,"96,424元/平",近地铁|VR看装修|房本满两年|随时看房,https://sh.lianjia.com/ershoufang/107111240661.html
huangpu,上海滩花园,外滩旁方正全明4房户型，花园社区，央企物业,4室2厅 | 156.43平米 | 南 北 | 精装 | 27层 | 2008年 | 板楼,2188万,"139,871元/平",VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115202769.html
huangpu,复地雅园公馆,外滩2021年次新房南北通两房刷卡到户有车位,2室1厅 | 108平米 | 南 北 | 精装 | 低楼层(共20层) | 2020年 | 板楼,1780万,"164,815元/平",近地铁|VR看装修|随时看房,https://sh.lianjia.com/ershoufang/107112391077.html
huangpu,泰康小区,泰康小区 2室1厅 南 北,2室1厅 | 46.92平米 | 南 北 | 精装 | 高楼层(共7层) | 1994年 | 板楼,460万,"98,040元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114002719.html
huangpu,德昌公寓,德昌公寓高区三房，几百万华丽装修！,3室2厅 | 153.36平米 | 南 | 精装 | 高楼层(共18层) | 2000年 | 板楼,1500万,"97,810元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114095167.html
huangpu,白玉兰家园,白玉兰家园 2室2厅 南,2室2厅 | 109.32平米 | 南 | 精装 | 高楼层(共8层) | 2001年 | 板楼,1498万,"137,029元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114054931.html
huangpu,宏泰公寓,人民广场新出朝南大两房，业主主动挂牌，好看好谈好签,2室2厅 | 131.75平米 | 南 | 精装 | 中楼层(共33层) | 2000年 | 塔楼,1160万,"88,046元/平",近地铁|VR房源,https://sh.lianjia.com/ershoufang/107112484304.html
huangpu,复地雅园公馆,2021年次新房，户型方正，小区闹中取静,3室2厅 | 154.19平米 | 南 北 | 精装 | 中楼层(共17层) | 2020年 | 板楼,2700万,"175,109元/平",近地铁|VR房源|房本满两年,https://sh.lianjia.com/ershoufang/107110479924.html
huangpu,明日星城（一期）,明日星城南北通精装大三房，视野开阔,3室2厅 | 119.46平米 | 南 | 精装 | 低楼层(共34层) | 2002年 | 板楼,1198万,"100,285元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107111577995.html
huangpu,绿地海珀外滩(一期),2022年次新房，层高3.6米，蓬二，绿地Top系列，全智能,4室1厅 | 261.82平米 | 南 | 精装 | 20层 | 2022年 | 板楼,6000万,"229,166元/平",近地铁|VR房源|房本满两年,https://sh.lianjia.com/ershoufang/107111314443.html
huangpu,中华东波小区,大同，户型正气3房，业主诚意出售，全明户型,3室2厅 | 125.06平米 | 南 北 | 精装 | 高楼层(共21层) | 2000年 | 塔楼,1098万,"87,798元/平",近地铁|VR房源|房本满两年,https://sh.lianjia.com/ershoufang/107111959444.html
huangpu,豫景公寓,豫景公寓：黄浦露台30平米 装修标准100万，居家自住,3室2厅 | 142.17平米 | 南 北 | 精装 | 低楼层(共27层) | 2000年 | 塔楼,1199万,"84,336元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107112043125.html
huangpu,华润外滩九里,南外滩精致小户型、双开间朝南 ，华润打造、华润物业,1室2厅 | 73.86平米 | 南 | 精装 | 23层 | 2010年 | 板楼,1100万,"148,931元/平",VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107110567536.html
huangpu,绿地海珀黄浦,此房位置好不靠马路 1梯1户 近6米横厅 百万软装,3室2厅 | 149.94平米 | 南 | 精装 | 23层 | 2016年 | 板楼,3300万,"220,089元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107106905014.html
huangpu,泰康路21号,新上房源+一室户+低总价+适合附近上班,1室1厅 | 36.45平米 | 南 | 其他 | 高楼层(共6层) | 1988年 | 板楼,345万,"94,651元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115159605.html
huangpu,金外滩花园,低总价 （全落地窗江景房） 开窗见绿 正对花园,1室1厅 | 80.91平米 | 南 | 精装 | 32层 | 2006年 | 板楼,1350万,"166,853元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107113195632.html
huangpu,绿地海珀黄浦,绿地海珀系住宅，房东诚意出售，一手买进，自住保养好,2室2厅 | 91.82平米 | 南 | 精装 | 32层 | 2016年 | 板楼,1580万,"172,076元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107112462755.html
huangpu,滨江名人苑,视野开阔，全明户型，方正3房，外滩江畔，近地铁,3室2厅 | 147.02平米 | 南 北 | 精装 | 31层 | 2004年 | 板楼,1789万,"121,685元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107109084035.html
huangpu,南吉公寓,大同初级景观房近地铁3轨交汇精装,4室2厅 | 136.74平米 | 东南 | 精装 | 高楼层(共21层) | 1999年 | 板楼,1180万,"86,296元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114970714.html
huangpu,复兴珑御一期,新天地朝南四房中区楼层  3100万产权车位另算,4室2厅 | 185.23平米 | 南 | 精装 | 26层 | 2017年 | 板楼,3100万,"167,360元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107111912938.html
huangpu,黄浦滩名苑,2015年新房，南北通 看小区绿化 得房率高,2室2厅 | 116.48平米 | 南 北 | 精装 | 低楼层(共20层) | 2016年 | 板楼,2050万,"175,996元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107106577824.html
huangpu,蒙自路601弄,配套设施齐全，交通便利，总价低。近地铁13号线。,2室1厅 | 53.92平米 | 西 | 简装 | 高楼层(共6层) | 1986年 | 板楼,398万,"73,814元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114321137.html
huangpu,中福花苑,黄浦复式住宅，斥巨资装修，近地铁，高得房率,3室1厅 | 82.48平米 | 南 | 精装 | 低楼层(共19层) | 2003年 | 塔楼,750万,"90,932元/平",近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107113987911.html
huangpu,桃源新村,大世界地铁口淮海路电梯小高层双阳台采光好 万竹,2室1厅 | 99.09平米 | 南 | 简装 | 高楼层(共7层) | 1999年 | 板楼,1080万,"108,992元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114867303.html
huangpu,复地雅园公馆,得房率高户型正气位置安静交通便利，地理位置佳,4室2厅 | 177.5平米 | 南 | 精装 | 低楼层(共17层) | 2006年 | 板楼,2000万,"112,677元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107110534463.html
huangpu,新华南园大厦,黄浦滨江板块，04年商品房，朝南一室户，精装修,1室2厅 | 75.46平米 | 南 | 精装 | 低楼层(共28层) | 2004年 | 塔楼,428万,"56,719元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114200787.html
huangpu,耀江花园,高区一线江景，双轨交全南两房，闹中取静，房子有车位,2室2厅 | 111.81平米 | 南 | 精装 | 高楼层(共34层) | 2004年 | 板楼,1480万,"132,368元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114427214.html
huangpu,越纪公寓,一室户，楼层好，全明户型，业主诚意出售，看房方便,1室1厅 | 55.15平米 | 东 | 精装 | 中楼层(共25层) | 1992年 | 板塔结合,599万,"108,613元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107109092447.html
huangpu,中山南路1768弄,近4/8号线地铁，边套2房，得房率85%，上外+大,2室1厅 | 78.5平米 | 东南 | 精装 | 中楼层(共6层) | 1990年 | 板楼,788万,"100,383元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107113993170.html
huangpu,中福花苑,满五年，楼层好，视野好，精装修，产权清晰,2室2厅 | 82.48平米 | 南 | 精装 | 低楼层(共19层) | 2003年 | 塔楼,760万,"92,144元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107110669034.html
huangpu,复兴珑御一期,顶豪高奢酒店式户型，私享会所+生态园林，戴维斯物业,2室1厅 | 88.38平米 | 南 北 | 精装 | 35层 | 2017年 | 板楼,1950万,"220,639元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107111371445.html
huangpu,瑞德公寓,建德路电梯大三房，高区景观视野好,3室2厅 | 135.17平米 | 南 | 毛坯 | 高楼层(共26层) | 1998年 | 板塔结合,1230万,"90,997元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114579368.html
huangpu,佳成大厦(公寓),佳成大厦(公寓) 3室2厅 南 东南,3室2厅 | 103.17平米 | 南 东南 | 精装 | 高楼层(共17层) | 2006年 | 板楼,1180万,"114,375元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115311030.html
huangpu,馥公馆,露香园，精装两房，带会所泳池，全新装修拎包住,2室2厅 | 172.05平米 | 南 | 精装 | 中楼层(共17层) | 2014年 | 塔楼,2260万,"131,358元/平",近地铁|VR房源,https://sh.lianjia.com/ershoufang/107114604064.html
huangpu,通达大厦,外滩滨江复式，近绿地外滩金融城边，小南门地铁口。,5室3厅 | 231.62平米 | 南 | 精装 | 高楼层(共23层) | 1998年 | 塔楼,2100万,"90,666元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107111851129.html
huangpu,耀江花园,上外，此房是前排江景房，视野很好、业主诚意出售,3室2厅 | 128.29平米 | 南 西北 | 精装 | 中楼层(共26层) | 2004年 | 板楼,2000万,"155,897元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107110340992.html
huangpu,威海苑,房内明亮视野开阔，前眺人民广场博物馆，南京路步行街,3室2厅 | 150.26平米 | 东南 | 精装 | 高楼层(共18层) | 1999年 | 塔楼,1498万,"99,694元/平",近地铁|VR房源,https://sh.lianjia.com/ershoufang/107113230777.html
huangpu,蒙西小区,1994年电梯房 1层3户 得房率80%  南北全明,2室1厅 | 60.04平米 | 南 | 精装 | 中楼层(共7层) | 1994年 | 板楼,580万,"96,603元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115060992.html
huangpu,滨江名人苑,前排高区视野开阔+采光充足+黄浦滨江外滩+业主诚售,2室2厅 | 102.5平米 | 南 | 精装 | 31层 | 2004年 | 板楼,1220万,"119,025元/平",近地铁|VR房源|房本满两年,https://sh.lianjia.com/ershoufang/107112588532.html
huangpu,金外滩花园,【外滩醉美江景】看陆家嘴三件套|全江景落地窗,3室2厅 | 175.18平米 | 南 | 精装 | 32层 | 2006年 | 板楼,2450万,"139,857元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107111571517.html
huangpu,金外滩花园,高区江景+南北直通双阳台+人车分流，空中花园跑道,3室2厅 | 170.72平米 | 东南 南 | 精装 | 31层 | 2006年 | 板楼,2990万,"175,141元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107108214812.html
huangpu,长新大楼,⭐⭐⭐⭐⭐人广学趣房，电梯高层观景精装修一房总价低,1室1厅 | 36.62平米 | 西北 | 精装 | 高楼层(共21层) | 1986年 | 板塔结合,450万,"122,884元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107103812725.html
huangpu,桃源新村,淮海路商圈＋8号10号线双轨交＋户型格局方正,3室1厅 | 108.47平米 | 南 | 简装 | 低楼层(共7层) | 1988年 | 板楼,985万,"90,809元/平",近地铁|VR房源|房本满两年,https://sh.lianjia.com/ershoufang/107114357632.html
huangpu,五里桥路269弄,五里桥路269弄 2室1厅 南,2室1厅 | 62.59平米 | 南 | 精装 | 中楼层(共6层) | 1983年 | 板楼,595万,"95,064元/平",近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115368817.html
huangpu,海玥黄浦源,海玥系列TOP楼盘，东边套景观户型⭐⭐⭐⭐⭐⭐,4室2厅 | 233.07平米 | 南 北 | 精装 | 低楼层(共50层)  | 板楼,3490万,"149,741元/平",近地铁|VR房源|房本满两年|随时看房,https://sh.lianjia.com/ershoufang/107114947146.html
huangpu,华润外滩九里,外滩江畔大平层 法式园林双会所 2梯1户带子母车位,4室2厅 | 317.73平米 | 南 | 精装 | 24层 | 2011年 | 板楼,4350万,"136,909元/平",VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107113885887.html
huangpu,百花公寓,店长推荐带露台，全明三房，采光好,3室2厅 | 125.21平米 | 南 | 简装 | 高楼层(共7层) | 1998年 | 板楼,1098万,"87,693元/平",近地铁|VR看装修|房本满两年,https://sh.lianjia.com/ershoufang/107114026188.html
huangpu,市民新村(黄浦),市民新村：中间3楼（*）小区中间安静，随时看,2室1厅 | 45.27平米 | 南 北 | 简装 | 中楼层(共6层) | 1965年 | 板楼,556万,"122,819元/平",近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107111448376.html
huangpu,黄浦华庭,2010年新小区，比邻蓬莱公园，南北通全明户型,3室1厅 | 144.93平米 | 南 | 精装 | 29层 | 2010年 | 板楼,1538万,"106,121元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114255728.html
huangpu,德昌公寓,德昌公寓高层两房，税费低，客厅 两房朝南！,2室2厅 | 122.68平米 | 南 | 简装 | 高楼层(共18层) | 2000年 | 板楼,1150万,"93,740元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114093238.html
huangpu,德昌公寓,德昌公寓高层两房，税费低，客厅 两房朝南！,2室2厅 | 122.68平米 | 南 | 简装 | 高楼层(共18层) | 2000年 | 板楼,1150万,"93,740元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114093238.html
huangpu,黄浦众鑫城,新天地一路之隔，纯人车分流，楼下双轨交汇，配套齐全,3室2厅 | 145.18平米 | 南 | 精装 | 高楼层(共29层) | 2002年 | 板楼,1699万,"117,028元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114072203.html
huangpu,东方苑,小区位置好， 户型正气，双阳台，精装修，总价低。,2室2厅 | 104.16平米 | 南 | 精装 | 高楼层(共23层) | 1998年 | 板楼,999万,"95,911元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107112382462.html
huangpu,人民大楼,人民大楼 2室1厅 南,2室1厅 | 87.77平米 | 南 | 精装 | 高楼层(共17层) | 1987年 | 塔楼,838万,"95,477元/平",近地铁|VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115404496.html
huangpu,人民大楼,全明户型、地铁口、电梯房、淮海路商圈,2室1厅 | 56.54平米 | 南 | 简装 | 中楼层(共17层) | 1987年 | 塔楼,630万,"111,426元/平",近地铁|VR看装修|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107108734678.html
